2014-01-15 17:41:46.075 [] [] [Windows XP Professionel 32bits Service Pack 3]
2014-01-15 17:41:46.340 Info [MainThread] CsharpTest.Program(Main,17) ddd
2014-01-15 17:41:46.340 Debug [MainThread] CsharpTest.Program(Main,18) hello world
2014-01-15 17:41:46.340 Info [thread123] CsharpTest.Program(ThreadProc1,53) ThreadPorc1: hello
2014-01-15 17:41:46.340 Info [thread] CsharpTest.Program(ThreadProc,42) ThreadPorc: world
2014-01-15 17:41:46.434 Info [thread123] CsharpTest.Program(ThreadProc1,53) ThreadPorc1: hello
2014-01-15 17:41:46.434 Info [thread] CsharpTest.Program(ThreadProc,42) ThreadPorc: world
2014-01-15 17:41:46.543 Info [thread] CsharpTest.Program(ThreadProc,42) ThreadPorc: world
2014-01-15 17:41:46.543 Info [thread123] CsharpTest.Program(ThreadProc1,53) ThreadPorc1: hello
2014-01-15 17:41:46.637 Info [thread123] CsharpTest.Program(ThreadProc1,53) ThreadPorc1: hello
2014-01-15 17:41:46.637 Info [thread] CsharpTest.Program(ThreadProc,42) ThreadPorc: world
2014-01-15 17:41:46.746 Info [thread] CsharpTest.Program(ThreadProc,42) ThreadPorc: world
2014-01-15 17:41:46.746 Info [thread123] CsharpTest.Program(ThreadProc1,53) ThreadPorc1: hello
