2014-01-15 17:43:08.991 [] [] [Windows XP Professionel 32bits Service Pack 3]
2014-01-15 17:43:09.023 Info [MainThread] CsharpTest.Program(Main,17) ddd
2014-01-15 17:43:09.023 Debug [MainThread] CsharpTest.Program(Main,18) hello world
2014-01-15 17:43:09.038 Info [thread] CsharpTest.Program(ThreadProc,42) ThreadPorc: world
2014-01-15 17:43:09.038 Info [thread123] CsharpTest.Program(ThreadProc1,53) ThreadPorc1: hello
2014-01-15 17:43:09.147 Info [thread123] CsharpTest.Program(ThreadProc1,53) ThreadPorc1: hello
2014-01-15 17:43:09.147 Info [thread] CsharpTest.Program(ThreadProc,42) ThreadPorc: world
2014-01-15 17:43:09.241 Info [thread123] CsharpTest.Program(ThreadProc1,53) ThreadPorc1: hello
2014-01-15 17:43:09.241 Info [thread] CsharpTest.Program(ThreadProc,42) ThreadPorc: world
2014-01-15 17:43:09.350 Info [thread123] CsharpTest.Program(ThreadProc1,53) ThreadPorc1: hello
2014-01-15 17:43:09.350 Info [thread] CsharpTest.Program(ThreadProc,42) ThreadPorc: world
2014-01-15 17:43:09.444 Info [thread] CsharpTest.Program(ThreadProc,42) ThreadPorc: world
2014-01-15 17:43:09.444 Info [thread123] CsharpTest.Program(ThreadProc1,53) ThreadPorc1: hello
