2014-01-15 17:42:32.861 [] [] [Windows XP Professionel 32bits Service Pack 3]
2014-01-15 17:42:32.892 Info [MainThread] CsharpTest.Program(Main,17) ddd
2014-01-15 17:42:32.892 Debug [MainThread] CsharpTest.Program(Main,18) hello world
2014-01-15 17:42:32.892 Info [thread] CsharpTest.Program(ThreadProc,42) ThreadPorc: world
2014-01-15 17:42:32.892 Info [thread123] CsharpTest.Program(ThreadProc1,53) ThreadPorc1: hello
2014-01-15 17:42:32.986 Info [thread] CsharpTest.Program(ThreadProc,42) ThreadPorc: world
2014-01-15 17:42:33.001 Info [thread123] CsharpTest.Program(ThreadProc1,53) ThreadPorc1: hello
2014-01-15 17:42:33.095 Info [thread] CsharpTest.Program(ThreadProc,42) ThreadPorc: world
2014-01-15 17:42:33.095 Info [thread123] CsharpTest.Program(ThreadProc1,53) ThreadPorc1: hello
2014-01-15 17:42:33.188 Info [thread] CsharpTest.Program(ThreadProc,42) ThreadPorc: world
2014-01-15 17:42:33.188 Info [thread123] CsharpTest.Program(ThreadProc1,53) ThreadPorc1: hello
2014-01-15 17:42:33.298 Info [thread] CsharpTest.Program(ThreadProc,42) ThreadPorc: world
2014-01-15 17:42:33.298 Info [thread123] CsharpTest.Program(ThreadProc1,53) ThreadPorc1: hello
